16.06.2020 14:14:43 # 00060000013882020071614143600002901600010100164             202007161414352201470635000014720200716141435085496930001388000016250011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:43 # ACK sent for message: 00029
16.06.2020 14:14:48 # 00060000013882020071614144000003001600010100164             202007161414368401470636000014720200716141436085496930001388000016260011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:48 # ACK sent for message: 00030
16.06.2020 14:14:48 # 00060000013882020071614144000003101600010100164             202007161414383101470637000014720200716141438085496930001388000016270011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:48 # ACK sent for message: 00031
16.06.2020 14:14:48 # 00060000013882020071614144100003201600010100164             202007161414398101470638000014720200716141439085496930001388000016280011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:48 # ACK sent for message: 00032
16.06.2020 14:14:53 # 00060000013882020071614144500003301600010100164             202007161414413301470639000014720200716141441085496930001388000016290011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:53 # ACK sent for message: 00033
16.06.2020 14:14:53 # 00060000013882020071614144600003401600010100164             202007161414427701470640000014720200716141442085496930001388000016300011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:53 # ACK sent for message: 00034
16.06.2020 14:14:53 # 00060000013882020071614144600003501600010100164             202007161414443101470641000014720200716141444085496930001388000016310011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:53 # ACK sent for message: 00035
16.06.2020 14:14:58 # 00060000013882020071614145100003601600010100164             202007161414457801470642000014720200716141445085496930001388000016320011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:58 # ACK sent for message: 00036
16.06.2020 14:14:58 # 00060000013882020071614145100003701600010100164             202007161414471301470643000014720200716141447085496930001388000016330011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:58 # ACK sent for message: 00037
